Job Title,URL,What They Do,Types of Work Environments,Education and Training Requirements,Salary,Professional Organization Name,Professional Organization URL,Learn More Text,Learn More URL
Biomedical Engineer,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/biomedical-engineer,"Biomedical engineers work with mathematics, science, and medicine to invent or enhance various technologies that improve the function of the human body. Some biomedical engineers design computer programs and circuits for magnetic resonance imaging and X-ray machines. Others work with devices such as cochlear implants and pacemakers implanted directly into the body. The field of biomedical engineering even extends to the development of new kinds of drug therapy. Biomedical engineers work with simulations and statistics to analyze the way the body works. For example, they might look at the signals a certain organ or limb is sending to the brain and then work to develop an artificial organ, limb, joint, or heart valve to help patients who need that particular body part replaced. Nanotechnology means of communication, rehabilitation equipment, robotics, and the possibilities for biomedical engineering extend into many different scientific fields.","Generally, biomedical engineers work in environments pertaining to research and development, however, there are many branches of biomedical engineering, and the direction of any given engineer's career path may be predicated on their interests and the direction they take their education (see below).","Although the minimum education requirement to enter the field of biomedical engineering is a four-year bachelor's degree, many biomedical engineers choose to pursue their education at a graduate level. Frequently, students will choose a master's or doctoral degree in biomedical engineering, which is for those looking to pursue a career in research and development. However, there is also a percentage of students who earn their bachelor's degree in biomedical engineering or a related field and then go on to attend medical or dental school. Some earn their graduate degrees in business to manage biomedical engineering companies and there are even some who attend law school to concentrate on intellectual property laws concerning developments in biomedical engineering.","According to the Bureau of Labor and Statistics , the median salary for biomedical engineers is approximately $100,730 per year.",The Biomedical Engineering Society,https://www.bmes.org/,Biomedical engineering; Biomedical Engineering Education,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/biomedical-engineering; https://www.lerner.ccf.org/biomedical-engineering/education/
Biomedical Equipment Technician,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/biomedical-equipment-technician,"A biomedical equipment technician (BMET) maintains, services, and repairs medical equipment. This could take the form of preventative measures, cleaning, or adjusting pieces of equipment. BMETs are also familiar enough with hospital machinery to disassemble, repair, and reassemble various pieces of technology, although they might specialize in a specific kind of machinery. BMETs are always up to date on the most recent technologies emerging in the medical field and help ensure that other hospital staff members use the machinery safely. However, although they can generally perform routine maintenance, they also occasionally work odd hours and in stressful circumstances, so a cool head in the face of conflict is necessary.","Hospitals, including odd hours and some on-call work for emergency repairs.","Generally, an associate degree in biomedical technology or engineering is sufficient, but a bachelor's degree is sometimes required to work with more specialized equipment. A bachelor's degree can also provide a BMET with opportunities for advancement. There are certification exams for BMET with two or three years of experience, but the law does not require technicians to be certified at this time.","According to the Bureau of Labor and Statistics , the median salary for a biomedical equipment technician is approximately $60,670 per year.",The Association for the Advancement of Medical Instrumentations,http://www.aami.org/,,
Child Life Specialist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/child-life-specialist,"A child life specialist's primary function is to work with children facing hospitalization or medical challenges to ensure that their lives remain as normal as possible. This includes explaining relevant procedures to a child using language he or she can understand, supporting or distracting a child during the procedure, and providing support and information for a child's parents, siblings, and other family members. Child life specialists also help children cope with hospitalization or illness by offering opportunities for self-expression and creative play. The goal of a child life specialist is to assist each child and family in recovering.",General pediatric inpatient units Emergency rooms Surgical and intensive care units Increasingly present in community outreach programs and special needs camps,"Child life specialists have at least a bachelor's degree in child life, child psychology, or another closely related field to human development. Some people may choose to pursue their education further, getting a Master of Science degree in Child Life Studies or a closely related field. The Association of Child Life Professionals certifies child life specialists, and most employers require this certification. To become certified, applicants must have a bachelor's degree, 10 college-level courses in child life or a related field (including a minimum of one child life course taught by a Certified Child Life Specialist (CCLS) and must have completed an internship or fellowship of 480 hours under the direct supervision of a certified child life specialist. *These requirements will be changing. After 2019, a 600-hour internship must be completed.","According to salary.com , the median salary for child life specialists is approximately $59,915 per year.",Association of Child Life Professionals,http://www.childlife.org/,child life specialist: Kristin; Child life specialist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/child-life-specialist-kristin; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/child-life-affiliated-programs
Clinical Counselor,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/clinical-counselor,"Clinical counselors provide patients with flexible and accessible therapeutic services, combining more traditional psychotherapy with practical approaches to assessing a patient's particular issue. Clinical counselors attempt to find efficient ways to affect positive change in a patient's life. In addition to assessing patients and providing them with psychotherapy, clinical counselors also provide brief solution-oriented therapy, prevention programs, and crisis management.",Hospitals Private practices Behavioral health organizations Substance abuse treatment facilities,"Clinical counselors have a master's degree in counseling or closely related fields, have completed at least two years of post-master's clinical field training under the supervision of a licensed/certified mental health professional, and have passed the requisite state or national exams to become licensed/certified themselves.","According to the Bureau of Labor and Statistics , the median salary for clinical counselors is approximately $106,600 per year.",American Counseling Association,https://www.counseling.org/,Counseling; counseling,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/counseling-affiliated-programs; https://my.clevelandclinic.org/-/scassets/files/org/health-sciences/counseling-page.pdf?la=en
Clinical Psychologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/clinical-psychologist,"Clinical psychologists use various tests, assessments, and interviews to identify the nature, causes, and effects of potentially disruptive aspects of a patient's life. A patient might see a clinical psychologist for any number of distresses or disorders. These could be related to mental, emotional, behavioral, physical, or nervous factors in their personal or professional lives. The goal of a clinical psychologist is to help alleviate the identified distress in a patient's life by guiding them as they adjust, adapt, and develop as a person.",Hospitals Private practices Mental health service units Schools and universities The legal system Counseling centers Government agencies and military services,The American Psychological Association sets various standards for graduate programs in clinical psychology and those pursuing a career in the field must have (at minimum) a Doctorate in Clinical Psychology. All states also require a license to practice clinical psychology.,"According to the Bureau of Labor and Statistics , the median salary for a clinical psychologist is approximately $106,600 per year.",The Society of Clinical Psychology,https://div12.org,Counseling,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/counseling-affiliated-programs
Genetic Counselor,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/genetic-counselor,"Genetic counselors help patients identify potential risks in their family's medical history and help them understand the implications of those risks. For example, certain kinds of colorectal cancer are hereditary. If a physician sees that certain members of that patient's family have had colorectal cancer, then the physician might refer them to a genetic counselor. Genetic counselors will advise the patient on various testing procedures and will help him or her interpret and adjust to the results. While the news that genetic counselors deliver is not always pleasant, this type of testing can prepare and inform patients if they are at risk for certain hereditary diseases.","Hospitals Outpatient care facilities Medical and diagnostic laboratories and research facilities Colleges, universities, and schools","Genetic counselors have earned a master's degree in genetic counseling from a program approved by the Accreditation Council for Genetic Counseling. Once they have acquired their graduate degree, genetic counselors must take and pass a certification exam.","According to the Bureau of Labor and Statistics , the median salary for genetic counselors is approximately $98,130 per year.",The National Society of Genetic Counselors,http://www.nsgc.org/,genetic counselor: Amy; Genetic counseling,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/genetic-counselor-amy; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/genetic-counseling-affiliated-programs
Social Worker,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/social-worker,"Social workers help communities get access to the health or social services that they need, improving or providing those services where they are not already in place. They participate in legislation and help families and individuals get access to counseling and psychotherapy when necessary. Social workers are essential social, economic voices and advocates who work on behalf of those facing physical and mental illness, disability, divorce, loss, unemployment, abuse, addiction, and other daunting life challenges.",Hospitals Schools Mental health institutions Senior centers Prisons Military Corporations,"Many students will pursue a Bachelor of Social Work (BSW) degree from an accredited university. However, if you have a bachelor's degree in another area of study it is still possible to pursue a Master of Social Work (MSW), a Doctorate in Social Work (DSW), or a PhD. These degrees are a mix of classroom-based study and field experience. With a BSW it is possible to hold entry-level positions as a mental health assistant, residential counselor, or a program coordinator, but you must have a graduate-level degree in social work to practice. Social workers must also be licensed in order to practice. The licensing requirements vary from state to state. For more information concerning education and licensing visit beasocialworker.org .","According to salary.com , the median salary for social workers is approximately $65,668 per year.",The National Association of Social Workers,https://www.socialworkers.org/,Social work,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/social-work-affiliated-programs
Emergency Medical Technician - Basic,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/emergency-medical-technician-basic,"Emergency medical technicians with the designation handle critical situations, respond to emergencies, and stabilize injured patients on the way to the hospital. They are certified to take various steps to stabilize patients during pre-hospital care, which occurs in a ground ambulance or ambulatory helicopter. This includes splinting fractured limbs, immobilizing and moving a patient with spinal injuries, creating a tourniquet, and staunching heavy blood flow.",Ambulances and ambulatory helicopters. Sporting events. In tandem with policemen and firefighters to manage critical environments.,"The State of Ohio has established minimum requirements for EMT programs, which include at least 150 hours of classroom and lab-based coursework in anatomy, physiology, and the treatment of medical and trauma patients.","According to salary.com , the median salary for emergency medical technician - basic is approximately $37,691 per year.",The National Association of Emergency Medical Technicians,http://www.naemt.org/,EMT: Mike.; EMT; Akron General's Paramedic Education,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/ems-mike; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/emt-affiliated-programs; https://my.clevelandclinic.org/locations/akron-general/medical-professionals/medical-education/education-training/paramedic
Emergency Medical Technician - Paramedic,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/emergency-medical-technician-paramedic,"A paramedic is a healthcare professional who provides emergency treatment, including advanced life support, to patients in emergencies. The paramedic's role is to assess the urgent medical needs of patients and stabilize their conditions. Paramedics are the most highly trained emergency medical responders.",Ambulances and ambulatory helicopters Sporting events In tandem with policemen and firefighters to manage critical environments,"To become a paramedic, you must have a high school diploma and a current emergency medical technician certificate. They then require nearly 1,000 hours of training in emergency medical procedures including the use of cardiac defibrillator and giving intravenous medications. This training can take between ten months and two years to complete. As a paramedic, you will be trained to perform the following skills, in addition to the skills you have as an EMT: advanced management, oral endotracheal intubations, nasal endotracheal intubation, percutaneous cricothyroidotomy, continuous positive airway pressure (CPAP), needle decompression, transport ventilator, pharmacological intervention, intravenous access (IV), intraosseous access (IO), intramuscular injections (IM), subcutaneous injections (SC), sublingual administration (SL), administer over 30 medication by IV, IO, or IM/SC, medical/cardiac care, place and interpret electrocardiograms (ECG), synchronized cardioversion, manual defibrillation, transcutaneous pacing, and more in-depth medical and trauma patient assessment.","According to salary.com , the median salary for emergency medical technician - paramedics is approximately $49,399 per year.",The National Association of Emergency Medical Technicians,http://www.naemt.org/,EMT: Mike; EMT paramedic; Akron General's Paramedic Education,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/ems-mike; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/emt-affiliated-programs; https://my.clevelandclinic.org/locations/akron-general/medical-professionals/medical-education/education-training/paramedic
Art Therapist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/art-therapist,"Art therapists help patients express themselves through physical mediums and creativity. This can be used to express a patient's feelings, cope with emotional traumas or conflicts, promote self-awareness and self-esteem, manage behaviors such as addiction, reduce anxiety, and improve their social skills. Art therapists have an extensive knowledge of different art mediums such as painting, drawing, and sculpting. In addition to this knowledge, they also have experience with psychology and human development to better apply their artistic knowledge in a clinical setting.",Hospitals Psychiatric and rehabilitation facilities Wellness centers Schools Crisis centers Senior communities Private practices,"Art therapists acquire a master's degree in art therapy as well as post-graduate, supervised experience. The Art Therapy Credentials Board, Inc. grants certification to art therapists on three levels: Registered (ATR) - granted to art therapists who have acquired their master's degree and completed their supervised, post-graduate work. Board Certified (ATR-BC) - granted to art therapists who complete the written examination administered by the credentials board and who continue their education through recertification. Certified Supervised Credential (ATCS) - offered to board-certified art therapists who also demonstrate their supervision qualifications.","According to salary.com , the median salary for an art therapist is approximately $61,661 per year.",The American Art Therapy Association,http://www.arttherapy.org/,Art therapy; art therapy,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/art-therapy-affiliated-programs; https://my.clevelandclinic.org/departments/arts-medicine/therapy-performance-education/art-music-therapy
